Code;Identification;Code de l'instrument lié;Ident. de l'instrument lié;Valeur nominale;Unité;Désignation;Type de relation;Commentaire;Étalonné;Groupe;N° de voie
PLAST-60;CCOM0016;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0016;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0016;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0016;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0016;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0017;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0017;PLAST-60;CLAB0315;;;;;;1;/;
PLAST-60;CCOM0017;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0017;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0017;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0017;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0017;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0018;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0018;PLAST-60;CLAB0315;;;;;;1;/;
PLAST-60;CCOM0018;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0018;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0018;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0018;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0018;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0020;PLAST-60;CLAB0444;;;;;;1;/;
PLAST-60;CCOM0020;PLAST-60;CLAB1023;;;;;;1;/;
PLAST-60;CCOM0021;PLAST-60;CLAB0444;;;;;;1;/;
PLAST-60;CCOM0021;PLAST-60;CLAB1023;;;;;;1;/;
PLAST-60;CCOM0071;PLAST-60;CLAB0321;;;;;;1;/;
PLAST-60;CCOM0072;PLAST-60;CLAB0321;;;;;;1;/;
PLAST-60;CCOM0073;PLAST-60;CLAB0321;;;;;;1;/;
PLAST-60;CCOM0074;PLAST-60;CLAB0321;;;;;;1;/;
PLAST-60;CCOM0086;PLAST-60;CLAB0321;;;;Non spécifié;;1;/;
PLAST-60;CEPE0014;PLAST-60;CLAB0068;;;;;;1;/;
PLAST-60;CEPE0014;PLAST-60;CLAB0174;;;;;;1;/;
PLAST-60;CEPE0023;PLAST-60;CLAB0019;;;;;;1;/;
PLAST-60;CEPE0023;PLAST-60;CLAB0068;;;;;;1;/;
PLAST-60;CEPE0024;PLAST-60;CLAB0068;;;;;;1;/;
PLAST-60;CEPE0024;PLAST-60;CLAB0453;;;;;;1;/;
PLAST-60;CEPE0028;PLAST-60;CLAB0068;;;;;;1;/;
PLAST-60;CEPE0028;PLAST-60;CLAB0147;;;;;;1;/;
PLAST-60;CEPE0064;PLAST-60;CLAB0068;;;;Non spécifié;;1;/;
PLAST-60;CEPE0064;PLAST-60;CLAB0147;;;;Non spécifié;;1;/;
PLAST-60;CEPE0065;PLAST-60;CLAB0068;;;;Non spécifié;;1;/;
PLAST-60;CEPE0065;PLAST-60;CLAB0147;;;;Non spécifié;;1;/;
PLAST-60;CEPE0069;PLAST-60;CLAB0150;;;;;;1;/;
PLAST-60;CEPE0069;PLAST-60;CLAB0163;;;;;;1;/;
