Code;Identification;Localisation;Domaine de mesure;Famille d'instrument;Désignation;Etat d'utilisation;Fourniseur;Gestionnaire;Intervention;Périodicité Arg;Périodicité Nb;Procédure;Tolérance;Tolérance Arg;Durée (j);Durée (h);Durée (min);Seuil alerte;Seuil alerte Arg;Type périodicité;Calcul de périodicité;Date campagne;Anticipation;Nom intervention mise en sommeil;Nom intervention remise en service;Lieu d'intervention;Entrée/Sortie via mouvements;Prestataire;Détail;Coefficient d'utilisation
PLAST-60;CSCR0165;LABORATOIRE DEVELOPPEMENT / SCR / to be defined;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0166;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-14;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0167;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-14;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0168;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-14;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0169;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-14;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0170;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-14;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0171;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-09;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0172;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-08;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0173;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-08;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0174;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-08;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0175;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-08;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0176;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-05;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0177;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-05;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0178;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-05;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0179;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-05;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0180;LABORATOIRE DEVELOPPEMENT / SCR / SCR Area;Masse;Variable;Scale;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;MAREC-60;;
PLAST-60;CSCR0183;LABORATOIRE DEVELOPPEMENT / SCR / SCR-028;Température;Variable;Climatic chamber;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;12;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;A+ METROLOGIE;;
PLAST-60;CSCR0184;LABORATOIRE DEVELOPPEMENT / SCR / SCR-029;Température;Variable;Climatic chamber;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;12;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;Aucun;Oui;A+ METROLOGIE;;
